city,neighbourhood,total_crimes,violent_pct,property_pct,avg_hour,night_pct,cluster,risk_level
Toronto,Don Valley Village (47),2575,58.29126213592233,41.70873786407767,13.699805825242718,15.339805825242719,1,Medium Risk
Toronto,Dorset Park (126),3347,57.90259934269495,42.09740065730505,12.138034060352554,27.487302061547652,0,High Risk
Toronto,Dovercourt Village (172),1803,63.449805879090405,36.550194120909595,12.663338879645035,24.57016084303938,1,Medium Risk
Toronto,Downsview (155),2674,58.78833208676141,41.21166791323859,12.87397157816006,23.44801795063575,1,Medium Risk
Toronto,Downtown Yonge East (168),7484,76.46980224478888,23.530197755211116,12.589524318546232,24.98663816141101,0,High Risk
Toronto,Dufferin Grove (83),1686,66.90391459074732,33.096085409252666,12.625741399762752,23.54685646500593,1,Medium Risk
Toronto,East End-Danforth (62),3029,65.86332122812809,34.13667877187191,12.622317596566523,23.208979861340374,1,Medium Risk
Toronto,East L'Amoreaux (148),1483,58.79973027646662,41.20026972353338,13.076871207012811,21.375590020229264,1,Medium Risk
Toronto,East Willowdale (152),1544,42.29274611398964,57.70725388601037,12.957253886010363,25.32383419689119,2,Low Risk
Toronto,Edenbridge-Humber Valley (9),1281,31.693989071038253,68.30601092896174,12.933645589383294,26.229508196721312,2,Low Risk
Toronto,Eglinton East (138),2817,69.3645722399716,30.6354277600284,12.36954206602769,27.547035853745115,0,High Risk
Toronto,Elms-Old Rexdale (5),1229,60.53702196908055,39.46297803091945,13.913751017087062,19.202603742880388,1,Medium Risk
Toronto,Englemount-Lawrence (32),1905,58.63517060367454,41.36482939632546,12.987926509186352,23.412073490813647,1,Medium Risk
Toronto,Eringate-Centennial-West Deane (11),1448,44.33701657458563,55.66298342541437,13.158839779005525,24.723756906077348,2,Low Risk
Toronto,Etobicoke City Centre (159),4451,44.37205122444394,55.62794877555606,12.47854414738261,22.89373174567513,2,Low Risk
Toronto,Etobicoke West Mall (13),933,57.9849946409432,42.01500535905681,12.943193997856378,22.936763129689176,1,Medium Risk
Toronto,Fenside-Parkwoods (150),1736,65.38018433179722,34.61981566820276,13.255760368663594,19.5852534562212,1,Medium Risk
Toronto,Flemingdon Park (44),1826,76.56078860898138,23.43921139101862,13.195509309967141,20.31763417305586,1,Medium Risk
Toronto,Forest Hill North (102),1085,46.175115207373274,53.824884792626726,12.964976958525346,25.253456221198157,2,Low Risk
Toronto,Forest Hill South (101),1085,25.069124423963135,74.93087557603687,13.030414746543778,26.63594470046083,2,Low Risk
Toronto,Fort York-Liberty Village (163),2101,65.73060447405997,34.26939552594003,12.293193717277488,29.03379343169919,0,High Risk
Toronto,Glenfield-Jane Heights (25),4592,69.94773519163763,30.052264808362366,13.320121951219512,20.77526132404181,1,Medium Risk
Toronto,Golfdale-Cedarbrae-Woburn (141),2891,71.01349014181943,28.986509858180558,13.0622621930128,21.618817018332756,1,Medium Risk
Toronto,Greenwood-Coxwell (65),1793,63.190184049079754,36.809815950920246,12.259341885108757,28.332403792526488,0,High Risk
Toronto,Guildwood (140),619,67.20516962843296,32.794830371567045,12.360258481421647,21.809369951534734,1,Medium Risk
Toronto,Harbourfront-CityPlace (165),3209,69.33624181988158,30.663758180118418,12.02991586163914,29.66656279214709,0,High Risk
Toronto,Henry Farm (53),1444,58.51800554016621,41.48199445983379,12.996537396121884,21.46814404432133,1,Medium Risk
Toronto,High Park North (88),2096,65.36259541984732,34.63740458015267,12.726145038167939,20.658396946564885,1,Medium Risk
Toronto,High Park-Swansea (87),1794,53.67892976588629,46.32107023411371,12.345596432552954,28.037904124860646,0,High Risk
Toronto,Highland Creek (134),1079,53.38276181649676,46.61723818350325,13.28637627432808,21.316033364226136,1,Medium Risk
Toronto,Hillcrest Village (48),1374,51.382823871906844,48.617176128093156,13.166666666666666,19.723435225618633,1,Medium Risk
Toronto,Humber Bay Shores (161),1700,61.411764705882355,38.588235294117645,12.523529411764706,27.294117647058826,0,High Risk
Toronto,Humber Heights-Westmount (8),840,49.166666666666664,50.83333333333333,12.714285714285714,24.285714285714285,2,Low Risk
Toronto,Humber Summit (21),3212,44.64508094645081,55.35491905354919,12.389165628891655,27.73972602739726,2,Low Risk
Toronto,Humbermede (22),2565,55.633528265107216,44.366471734892784,13.069395711500974,22.49512670565302,1,Medium Risk
Toronto,Humewood-Cedarvale (106),1148,43.98954703832752,56.01045296167248,12.80836236933798,26.91637630662021,2,Low Risk
Toronto,Ionview (125),1287,74.9028749028749,25.097125097125094,12.432789432789432,25.64102564102564,0,High Risk
Toronto,Islington (158),2255,45.45454545454545,54.54545454545454,12.222616407982262,26.78492239467849,2,Low Risk
Toronto,Junction Area (90),2186,57.0448307410796,42.9551692589204,12.280420860018298,26.395242451967064,0,High Risk
Toronto,Junction-Wallace Emerson (171),2956,62.28010825439784,37.71989174560216,12.229025710419485,28.585926928281463,0,High Risk
Toronto,Keelesdale-Eglinton West (110),1280,64.0625,35.9375,12.5625,25.859375,1,Medium Risk
Toronto,Kennedy Park (124),3136,75.22321428571429,24.776785714285715,12.574936224489797,24.426020408163264,0,High Risk
Toronto,Kensington-Chinatown (78),6559,67.7542308278701,32.2457691721299,11.787162677237383,30.29425217258728,0,High Risk
Toronto,Kingsview Village-The Westway (6),2229,57.245401525347695,42.75459847465231,13.356662180349932,20.547330641543294,1,Medium Risk
Toronto,Kingsway South (15),985,39.49238578680203,60.50761421319797,12.891370558375634,27.20812182741117,2,Low Risk
Toronto,L'Amoreaux West (147),1717,62.95864880605707,37.04135119394292,13.185206755969714,20.55911473500291,1,Medium Risk
Toronto,Lambton Baby Point (114),535,58.13084112149532,41.86915887850468,12.745794392523365,25.794392523364486,1,Medium Risk
Toronto,Lansing-Westgate (38),1765,49.74504249291785,50.25495750708215,12.822096317280453,24.645892351274785,2,Low Risk
Toronto,Lawrence Park North (105),1053,37.03703703703704,62.96296296296296,12.982905982905983,26.305792972459642,2,Low Risk
Toronto,Lawrence Park South (103),1252,24.281150159744406,75.71884984025559,12.582268370607029,28.833865814696484,2,Low Risk
